347,234,
240,113,
282,148,
121,183,
489,56,
430,211,
245,105,
462,68,
240,244,
436,182,
73,198,
142,183,
314,183,
216,204,
559,221,
170,195,
66,162,
180,209,
75,249,
169,158,
503,211,
267,253,
329,246,
281,234,
226,161,
370,43,
381,248,
429,173,
430,105,
181,240,
48,154,
441,207,
40,217,
488,250,
131,206,
415,133,
39,65,
532,55,
128,175,
294,93,
205,233,
27,249,
445,148,
432,228,
479,114,
496,36,
598,251,
594,234,
364,241,
481,159,
174,138,
387,65,
67,180,
226,218,
322,188,
333,164,
256,142,
256,148,
249,162,
564,225,
262,227,
419,169,
520,115,
97,192,
593,196,
309,65,
322,38,
181,206,
124,141,
342,204,
473,229,
573,130,
409,243,
542,95,
545,125,
390,248,
547,161,
301,227,
214,130,
421,250,
516,179,
303,114,
237,81,
172,199,
379,154,
202,216,
362,192,
34,112,
540,231,
417,236,
435,227,
156,126,
171,113,
199,205,
573,173,
358,173,
167,177,
170,253,
202,254,
170,188,
294,141,
263,114,
463,162,
348,136,
72,255,
537,223,
430,209,
182,242,
333,204,
284,195,
550,185,
497,133,
545,130,
328,58,
293,167,
439,240,
255,167,
431,79,
50,250,
193,239,
581,150,
542,196,
71,168,
123,205,
494,89,
175,104,
168,193,
305,152,
298,217,
227,163,
131,207,
220,255,
231,235,
209,149,
564,180,
415,112,
577,220,
419,161,
425,186,
281,163,
226,210,
216,131,
502,25,
478,54,
211,198,
235,225,
598,101,
60,105,
296,199,
116,256,
191,93,
271,107,
207,242,
135,223,
511,12,
545,242,
440,237,
473,235,
217,235,
454,241,
193,107,
113,101,
245,107,
173,188,
347,211,
551,240,
452,196,
187,127,
41,243,
188,122,
442,217,
203,187,
304,197,
594,178,
321,143,
73,240,
29,66,
176,161,
290,247,
84,95,
582,147,
158,238,
391,118,
160,227,
172,195,
481,84,
413,246,
215,211,
288,95,
361,155,
95,223,
532,250,
589,91,
191,126,
162,248,
115,229,
42,140,
573,240,
320,171,
527,247,
229,166,
173,91,
383,125,
31,112,
468,251,
171,256,
494,254,
98,128,
369,228,
350,175,
62,239,
357,75,
328,94,
141,209,
559,106,
99,132,
531,142,
255,200,
370,173,
337,96,
